,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,Winery,Grapes,Region,Alcohol content,Pairings,imgurl,rec_id
882,882,882,882,882,882,882,882,882,882,L? de Joncier,2019,Red wine,Grenache,72 ratings,"19,052",Domaine du Joncier,100% Grenache,France / Rhone Valley / Southern Rh筌_e / C筌_es-du-Rh筌_e,13.5,"['Beef', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/wCCzMdBoSEOTKAGzSbcW9Q_pb_x600.png,"400, 1440, 837, 1195, 968, 257"
883,883,883,883,883,883,883,883,883,883,Langhe Nascetta,2018,White wine,Nascetta,74 ratings,"47,349",Stroppiana,Nascetta,Italy / Piemonte / Langhe,13.5,"['Pasta', 'Shellfish', 'Mature and hard cheese', 'Lean fish', 'Cured Meat']",//images.vivino.com/thumbs/J2sUGVmQShuatNgje9oyqw_pb_x600.png,"574, 1239, 1821, 273, 80, 1415"
884,884,884,884,884,884,884,884,884,884,Cabernet Sauvignon,2016,Red wine,Cabernet Sauvignon,76 ratings,"95,825",Redman,Cabernet Sauvignon,Australia / South Australia / Limestone Coast / Coonawarra,13.5,"['Beef', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/PcPFHQBtQsumh5VsuA8-lg_pb_x600.png,"1960, 32, 222, 1205, 1167, 678"
885,885,885,885,885,885,885,885,885,885,Saint-Bris Sauvignon,2020,White wine,Sauvignon Blanc,76 ratings,"35,624",Domaine Les Temps Perdus - Clotilde Davenne,100% Sauvignon Blanc,France / Bourgogne / Saint-Bris,13.5,"['Pasta', 'Rich fish (salmon, tuna etc)', 'Shellfish', 'Mild and soft cheese', 'Cured Meat']",//images.vivino.com/thumbs/l5X0wrNLSn6cMrVKtCvbhw_pb_x600.png,"267, 1895, 998, 1703, 1143, 1720"
886,886,886,886,886,886,886,886,886,886,Graves,2018,Red wine,Blend,76 ratings,"24,597",Ch筌_eau Clare,"60% Merlot, 35% Cabernet Sauvignon, 5% Cabernet Franc",France / Bordeaux / Graves,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/2HAwYQ9ESoqyUDw-O3uMLQ_150x200.jpg,"590, 115, 1539, 628, 800, 1714"
887,887,887,887,887,887,887,887,887,887,Dolcetto d'Alba,2020,Red wine,Dolcetto,77 ratings,"24,084",Giacomo Grimaldi,100% Dolcetto,Italy / Piemonte / Dolcetto d'Alba,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/U-kxGMqVRgO300mr-gd-Fg_pb_x600.png,"1060, 1989, 641, 1562, 1229, 1138"
888,888,888,888,888,888,888,888,888,888,Cuve_ Los Lingues Single Vineyard Syrah,2016,Red wine,Shiraz/Syrah,78 ratings,"20,292",Koyle,Shiraz/Syrah,Chile / Central Valley / Rapel Valley / Colchagua Valley,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/jWVUpzj4QLusFkaIWVXhAg_pb_x600.png,"520, 271, 2001, 1787, 1878, 1001"
889,889,889,889,889,889,889,889,889,889,Sauvignon Blanc,2021,White wine,Sauvignon Blanc,31 ratings,"27,620",Catherine Marshall,100% Sauvignon Blanc,South Africa / Western Cape / Cape South Coast / Elgin,14.0,"['Shellfish', 'Vegetarian', 'Goat cheese']",//images.vivino.com/thumbs/uM4u17POSfKVxdwsalNqBQ_pb_x600.png,"825, 1488, 1828, 1041, 157, 2002"
890,890,890,890,890,890,890,890,890,890,Lune Blanche,2015,White wine,Carignan,30 ratings,"74,784",Domaine le Conte des Floris,Carignan,France / Languedoc-Roussillon,13.5,"['Pasta', 'Vegetarian', 'Poultry', 'Lean fish', 'Aperitif']",//images.vivino.com/thumbs/HR3L-Vl1SLScdlcJHHHQcA_pb_x600.png,"1372, 2017, 1306, 1008, 801, 628"
891,891,891,891,891,891,891,891,891,891,Les Gauthie_es Trousseau,2017,Red wine,Trousseau,30 ratings,"78,463",Pignier,Trousseau,France / Jura / C筌_es du Jura,13.5,,//images.vivino.com/thumbs/qw54VJe_Rp6yPvNnmtvvlA_pb_x600.png,"8, 15, 23, 31, 38, 41"
