,Unnamed: 0,Unnamed: 0.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,imgurl
1731,1731,1731,1731,Ballard Canyon Estate Syrah,2016,Red wine,Shiraz/Syrah,124 ratings,"56,367",//images.vivino.com/thumbs/id-ige6pRR6HPHFHAjQJUg_pb_x600.png
1732,1732,1732,1732,Growers Blend Cabernet Franc,2015,Red wine,Cabernet Franc,124 ratings,"45,094",//images.vivino.com/thumbs/ELPixFXYTqOwtTvikX9G6g_pb_x600.png
1733,1733,1733,1733,Rouge,2010,Red wine,Grenache,124 ratings,"71,556",//images.vivino.com/thumbs/hlGIAtzkQqi9-GFgYBukIQ_pb_x600.png
1734,1734,1734,1734,Sonoma Estates Cabernet Sauvignon,2018,Red wine,Cabernet Sauvignon,126 ratings,"65,386",//images.vivino.com/thumbs/RC-3FyB1RiCTEam92Ut9Aw_pb_x600.png
1735,1735,1735,1735,Xestal Mence_,2012,Red wine,Mencia,126 ratings,"34,497",//images.vivino.com/thumbs/uzbzPYgjReqoS-E8Mo1xOQ_pb_x600.png
1736,1736,1736,1736,Lagrein,2020,Red wine,Lagrein,128 ratings,"41,035",//images.vivino.com/thumbs/DVK_e-DaSMyh7bHIshoYMA_pb_x600.png
1737,1737,1737,1737,Barbaresco,2018,Red wine,Nebbiolo,129 ratings,"62,906",//images.vivino.com/thumbs/rMsGknH1SRi4kh3dWw3HWA_pb_x600.png
1738,1738,1738,1738,Les Alpes,2018,White wine,Gringet,132 ratings,"170,025",//images.vivino.com/thumbs/uiQhIMc6RF6W7_c5QQWAWw_pb_x600.png
1739,1739,1739,1739,Corralillo Sauvignon Blanc,2021,White wine,Sauvignon Blanc,135 ratings,"18,939",//images.vivino.com/thumbs/3tKkHhpCTyOJzpar5mAERg_pb_x600.png
1740,1740,1740,1740,Pinot Noir,2017,Red wine,Pinot Noir,98 ratings,"110,480",//images.vivino.com/thumbs/I-uaym7VQpez8TuohWp2Mw_pb_x600.png
1741,1741,1741,1741,Elementa,2019,White wine,Verdejo,97 ratings,"23,111",//images.vivino.com/thumbs/GeHgduTJSKK-FGq0d4qqEA_pb_x600.png
