wine_id,name,wine_type,rating_mean,rating_num,kprice,Alcohol_content,Pairings,Light_Bold,Smooth_Tannic,Dry_Sweet,Soft_Acidic,vintage,grape_simple,Winery,Grapes,Region,Wine style,Allergens,imgurl,link
39,Cabernet Sauvignon,Red,3.9,37,73278.0,13.5,"['Beef', 'Lamb', 'Poultry']",75.82729411764706,75.11658823529412,7.072752941176471,64.67741176470588,2015,Cabernet Sauvignon,Peccavi,Cabernet Sauvignon,Australia / Western Australia / South West Australia / Margaret River,Australian Cabernet Sauvignon,Contains sulfites,https://images.vivino.com/thumbs/J63D6btyTQuRZYdxLXZPvg_pb_x600.png,https://www.vivino.com//JP/en/peccavi-cabernet-sauvignon/w/1194235?year=2015&price_id=27217377
40,Tinto,Red,3.9,38,20067.0,13.5,"['Beef', 'Pasta', 'Veal', 'Poultry']",73.28764705882354,44.13258823529412,19.095411764705883,53.70094117647059,2019,Blend,Casal da Coelheira,"Alicante Bouschet, Touriga Nacional, Touriga Franca",Portugal / Tejo,Southern Portugal Red,Contains sulfites,https://images.vivino.com/thumbs/0Yg6cZZmSfWPB0YWSjiVug_pb_x600.png,https://www.vivino.com//JP/en/casal-da-coelheira-tinto-cac02/w/1202617?year=2019&price_id=28907432
41,Rosomel Vineyard Fumï§ Blanc,White,3.9,38,51858.0,13.5,0,68.88503647058823,54.36922352941176,15.969529411764706,64.47297647058824,2016,Fumï§ Blanc,Hidden Bench,Fumï§ Blanc,Canada / Ontario / Niagara Peninsula / Niagara Escarpment - Ontario / Beamsville Bench,,Contains sulfites,https://images.vivino.com/thumbs/scBrd3x-TBSBIQxo37k3uQ_150x200.jpg,https://www.vivino.com//JP/en/hidden-bench-fume-blanc/w/5047909?year=2016&price_id=26044369
42,Isolation Ridge Vineyard Shiraz,Red,3.9,38,45094.0,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",94.94788235294118,56.77858823529412,20.74305882352941,52.47,2018,Shiraz/Syrah,Frankland Estate,Shiraz/Syrah,Australia / Western Australia / South West Australia / Great Southern / Frankland River,Australian Shiraz,Contains sulfites,https://images.vivino.com/thumbs/2tDwAt04TMKGafAMsD3d2A_pb_x600.png,https://www.vivino.com//JP/en/frankland-estate-isolation-ridge-vineyard-shiraz/w/87388?year=2018&price_id=26506195
43,Noirien Pinot Noir,Red,3.9,38,59442.0,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",51.57517647058824,22.97776470588235,11.725776470588237,64.74482352941176,2012,Pinot Noir,Scorpo,Pinot Noir,Australia / Victoria / Port Phillip / Mornington Peninsula,Australian Pinot Noir,Contains sulfites,https://images.vivino.com/thumbs/03rEeuyjRYKbwJzTk7UQyA_pb_x600.png,https://www.vivino.com//JP/en/scorpo-noirien-pinot-noir/w/1228561?year=2012&price_id=27995745
44,Zinfandel,Red,3.9,39,24802.0,14.4,"['Beef', 'Lamb', 'Poultry']",96.12729411764708,32.41858823529412,41.34435294117647,19.211882352941178,2018,Zinfandel,Ballard Lane,100% Zinfandel,United States / California / Central Coast / San Luis Obispo County / Paso Robles,Californian Zinfandel,Contains sulfites,https://images.vivino.com/thumbs/3btT9dNLShWX9oLqGeQsgg_pb_x600.png,https://www.vivino.com//JP/en/ballard-lane-zinfandel/w/3172873?year=2018&price_id=22700708
45,Eclat de Soleil Chardonnay,White,3.9,39,38842.0,13.5,"['Pasta', 'Vegetarian', 'Poultry', 'Lean fish', 'Aperitif']",55.07094117647059,54.36922352941176,10.44624705882353,30.47670588235294,2019,Chardonnay,Domaine Poivre d'_e,Chardonnay,France / Languedoc-Roussillon / Languedoc,Languedoc-Roussillon White,Contains sulfites,https://images.vivino.com/thumbs/QDPEJkwPRoKUu_D4SVeaDg_pb_x600.png,https://www.vivino.com//JP/en/domaine-poivre-d-ane-eclat-de-soleil-chardonnay/w/3455510?year=2019&price_id=26414096
46,Les Garrigues Sauvignon,White,3.9,39,18038.0,13.5,"['Pasta', 'Vegetarian', 'Poultry', 'Lean fish', 'Aperitif']",50.15294117647059,54.36922352941176,12.749058823529412,50.89023529411765,2019,Sauvignon Blanc,Mont Tauch,Sauvignon Blanc,France / Vin de Pays / Pays d'Oc,Languedoc-Roussillon White,Contains sulfites,https://images.vivino.com/thumbs/GtJ3ptk3S1Ww_gclPHGBjQ_pb_x600.png,https://www.vivino.com//JP/en/mont-tauch-les-garrigues-sauvignon/w/2422211?year=2019&price_id=26659824
47,Vinha do Bispado Branco,White,3.9,39,14656.0,13.0,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Cured Meat']",51.64094117647058,54.36922352941176,14.79564705882353,66.01223529411764,2020,Rabigato,CARM,100% Rabigato,Portugal / Duriense / Douro,Northern Portugal White,Contains sulfites,https://images.vivino.com/thumbs/vxosEjWRRXGZf14Mgv1u_w_pb_x600.png,https://www.vivino.com//JP/en/carm-vinha-do-bispado-branco/w/2125787?year=2020&price_id=27718606
48,The Blonde Shiraz,Red,3.9,39,69896.0,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",92.40917647058824,49.6184705882353,19.12741176470588,58.42823529411765,2018,Shiraz/Syrah,Head,100% Shiraz/Syrah,Australia / South Australia / Barossa / Barossa Valley,Australian Shiraz,Contains sulfites,https://images.vivino.com/thumbs/BiFRu_ZCS2W9I17laxy7aw_pb_x600.png,https://www.vivino.com//JP/en/head-the-blonde-shiraz/w/4137413?year=2018&price_id=25719511
